geomaster_name,geomaster_id,admin_level,centroid_lon,centroid_lat,lat_max,lon_max,lat_min,lon_min,source,date,month,year,population_groups_concat,population_group_id,individuals_type,demography_type,individuals,households,published,numChildren,color,pg_id,pg_name,pg_pop_accommodation_code,pg_pop_accommodation_name,pg_pop_data_type_code,pg_pop_data_type_name,pg_pop_type_code,pg_pop_type_name,pg_pop_frequency_name,pg_pop_frequency_code,pg_pop_frequency_cumulative,pg_pop_frequency_cumulative_code,pg_pop_origin_name,pg_pop_origin_code
Khyber Pakhtunkhwa,1687,Province,72.3311111099999,34.9525,7.0,7.0,-7.0,-7.0,UNHCR,2026-02-28,2,2026,Registered Refugees from Afghanistan,5106,1,1,553245,,False,8,#3c8dbc,5106,Registered Refugees from Afghanistan,X,Not Specified,REG,Registered,REF,Refugees,Daily,D,cumulative,C,Afghanistan,AFG
Balochistan,1683,Province,65.09555556,28.49055556,30.05355556,67.12745556,26.92755556,63.06365556,UNHCR,2026-02-28,2,2026,Registered Refugees from Afghanistan,5106,1,1,212922,,False,8,#3c8dbc,5106,Registered Refugees from Afghanistan,X,Not Specified,REG,Registered,REF,Refugees,Daily,D,cumulative,C,Afghanistan,AFG
Punjab,1689,Province,72.70944444,31.17027778,32.870134922857,74.919258725714,29.470420637143,70.499630154286,UNHCR,2026-02-28,2,2026,Registered Refugees from Afghanistan,5106,1,1,104510,,False,8,#3c8dbc,5106,Registered Refugees from Afghanistan,X,Not Specified,REG,Registered,REF,Refugees,Daily,D,cumulative,C,Afghanistan,AFG
Sindh,1690,Province,68.52444444,25.89416667,27.08958547554,71.119308279286,23.372780607618,66.940322788214,UNHCR,2026-02-28,2,2026,Registered Refugees from Afghanistan,5106,1,1,39110,,False,8,#3c8dbc,5106,Registered Refugees from Afghanistan,X,Not Specified,REG,Registered,REF,Refugees,Daily,D,cumulative,C,Afghanistan,AFG
Islamabad,1686,Province,73.04833333,33.68305556,34.89805556,74.62783333,32.46805556,71.46883333,UNHCR,2026-02-28,2,2026,Registered Refugees from Afghanistan,5106,1,1,22866,,False,8,#3c8dbc,5106,Registered Refugees from Afghanistan,X,Not Specified,REG,Registered,REF,Refugees,Daily,D,cumulative,C,Afghanistan,AFG
the Pakistan administered side of the Line of Control in Jammu and Kashmir,1682,Province,74.099545,33.951604,37.34583333,75.62683333,34.50583333,71.93483333,UNHCR,2026-02-28,2,2026,Registered Refugees from Afghanistan,5106,1,1,2378,,False,8,#3c8dbc,5106,Registered Refugees from Afghanistan,X,Not Specified,REG,Registered,REF,Refugees,Daily,D,cumulative,C,Afghanistan,AFG
